census_tract,from,to,ratio_from,ratio_to
17031081201,637423.0,606367.0,0.03401044073251599,0.03563760460887951
17031081202,153934.0,151494.0,0.008213326446832191,0.008903656156449136
17031081300,456341.0,489139.0,0.02434860137509484,0.028747841292126246
17031081401,618703.0,533923.0,0.033011613500814746,0.03137990155398756
17031081402,332710.0,324963.0,0.017752126509579032,0.019098834380029444
17031081403,826433.0,771989.0,0.04409528769105506,0.04537159631774863
17031081500,1002048.0,1262284.0,0.05346542894614123,0.07418737842942454
17031081600,435893.0,462488.0,0.023257574706621178,0.027181499785363432
17031081700,983314.0,967705.0,0.052465854728262436,0.05687428268364827
17031081800,746105.0,609227.0,0.03980929442887038,0.035805693487696126
17031081900,24326.0,16323.0,0.0012979418396562156,0.0009593408282949769
17031090200,33.0,0.0,1.7607531328066724e-06,0.0
17031090300,1.0,0.0,5.3356155539596136e-08,0.0
17031100100,8.0,0.0,4.268492443167691e-07,0.0
17031100200,14.0,1.0,7.46986177554346e-07,5.877233525056527e-08
17031100300,12.0,0.0,6.402738664751536e-07,0.0
17031100400,1.0,0.0,5.3356155539596136e-08,0.0
17031100500,12.0,0.0,6.402738664751536e-07,0.0
17031100600,14.0,3.0,7.46986177554346e-07,1.763170057516958e-07
17031110100,39.0,2.0,2.0808900660442494e-06,1.1754467050113054e-07
17031110200,3.0,0.0,1.600684666187884e-07,0.0
17031110300,4.0,0.0,2.1342462215838455e-07,0.0
17031110400,24.0,2.0,1.2805477329503072e-06,1.1754467050113054e-07
17031110501,3.0,0.0,1.600684666187884e-07,0.0
17031110502,110.0,88.0,5.869177109355575e-06,5.171965502049744e-06
17031120100,11.0,0.0,5.869177109355575e-07,0.0
17031120200,24.0,1.0,1.2805477329503072e-06,5.877233525056527e-08
17031120300,25.0,1.0,1.3339038884899035e-06,5.877233525056527e-08
17031120400,20.0,0.0,1.0671231107919228e-06,0.0
17031130100,39.0,2.0,2.0808900660442494e-06,1.1754467050113054e-07
17031130200,38.0,2.0,2.0275339105046534e-06,1.1754467050113054e-07
17031130300,13.0,1.0,6.936300220147498e-07,5.877233525056527e-08
17031140100,69.0,5.0,3.6815747322321335e-06,2.9386167625282637e-07
17031140200,92.0,5.0,4.908766309642845e-06,2.9386167625282637e-07
17031140301,175.0,852.0,9.337327219429325e-06,5.007402963348161e-05
17031140302,6.0,0.0,3.201369332375768e-07,0.0
17031140400,62.0,11.0,3.3080816434549606e-06,6.46495687756218e-07
17031140500,25.0,8.0,1.3339038884899035e-06,4.701786820045222e-07
17031140601,19.0,67.0,1.0137669552523267e-06,3.937746461787873e-06
17031140602,29.0,1.0,1.547328510648288e-06,5.877233525056527e-08
17031140701,56.0,17.0,2.987944710217384e-06,9.991296992596096e-07
17031140702,92.0,5.0,4.908766309642845e-06,2.9386167625282637e-07
17031140800,1210.0,23.0,6.456094820291132e-05,1.3517637107630013e-06
17031150200,157.0,9.0,8.376916419716594e-06,5.289510172550875e-07
17031150300,75.0,1.0,4.00171166546971e-06,5.877233525056527e-08
17031150401,9.0,0.0,4.802053998563652e-07,0.0
17031150502,1.0,0.0,5.3356155539596136e-08,0.0
17031150600,2.0,0.0,1.0671231107919227e-07,0.0
17031150700,4.0,0.0,2.1342462215838455e-07,0.0
17031150800,5.0,0.0,2.667807776979807e-07,0.0
17031151001,1.0,0.0,5.3356155539596136e-08,0.0
17031151002,141.0,6.0,7.523217931083055e-06,3.526340115033916e-07
17031151100,4.0,0.0,2.1342462215838455e-07,0.0
17031151200,1.0,0.0,5.3356155539596136e-08,0.0
17031160100,40.0,1.0,2.1342462215838455e-06,5.877233525056527e-08
17031160200,345.0,48.0,1.8407873661160667e-05,2.821072092027133e-06
17031160300,374.0,23.0,1.9955202171808955e-05,1.3517637107630013e-06
17031160400,439.0,64.0,2.3423352281882704e-05,3.7614294560361774e-06
17031160501,35.0,3.0,1.8674654438858648e-06,1.763170057516958e-07
17031160502,58.0,3.0,3.094657021296576e-06,1.763170057516958e-07
17031160601,190.0,5.0,1.0137669552523266e-05,2.9386167625282637e-07
17031160602,270.0,11.0,1.4406161995690958e-05,6.46495687756218e-07
17031160700,351.0,222.0,1.8728010594398244e-05,1.3047458425625491e-05
17031160800,329.0,50.0,1.755417517252713e-05,2.9386167625282637e-06
17031160900,371.0,30.0,1.9795133705190165e-05,1.7631700575169582e-06
17031161000,160.0,76.0,8.536984886335382e-06,4.4666974790429605e-06
17031161100,47.0,2.0,2.5077393103610184e-06,1.1754467050113054e-07
17031161200,4.0,0.0,2.1342462215838455e-07,0.0
17031161300,32.0,0.0,1.7073969772670764e-06,0.0
17031170100,1.0,0.0,5.3356155539596136e-08,0.0
17031170200,3.0,0.0,1.600684666187884e-07,0.0
17031170300,3.0,0.0,1.600684666187884e-07,0.0
17031171000,1.0,0.0,5.3356155539596136e-08,0.0
17031171100,3.0,0.0,1.600684666187884e-07,0.0
17031190300,1.0,0.0,5.3356155539596136e-08,0.0
17031190402,2.0,0.0,1.0671231107919227e-07,0.0
17031190702,0.0,2.0,0.0,1.1754467050113054e-07
17031190800,1.0,0.0,5.3356155539596136e-08,0.0
17031191100,2.0,0.0,1.0671231107919227e-07,0.0
17031200100,9.0,0.0,4.802053998563652e-07,0.0
17031200200,6.0,0.0,3.201369332375768e-07,0.0
17031200300,0.0,1.0,0.0,5.877233525056527e-08
17031200402,2.0,0.0,1.0671231107919227e-07,0.0
17031210100,1314.0,128.0,7.010998837902933e-05,7.522858912072355e-06
17031210400,1.0,0.0,5.3356155539596136e-08,0.0
17031210501,33.0,2.0,1.7607531328066724e-06,1.1754467050113054e-07
17031210502,32.0,1.0,1.7073969772670764e-06,5.877233525056527e-08
17031210601,107.0,121.0,5.7091086427367864e-06,7.111452565318398e-06
17031210602,231.0,3.0,1.2325271929646708e-05,1.763170057516958e-07
17031210700,832.0,25.0,4.4392321408943986e-05,1.4693083812641318e-06
17031210800,43.0,2.0,2.2943146882026337e-06,1.1754467050113054e-07
17031210900,597.0,47.0,3.185362485713889e-05,2.7622997567765676e-06
17031220300,511.0,21.0,2.7264995480733627e-05,1.2342190402618706e-06
17031220400,1089.0,156.0,5.810485338262019e-05,9.168484299088182e-06
17031220500,3101.0,833.0,0.00016545743832828763,4.895735526372087e-05
17031220601,201.0,3.0,1.0724587263458824e-05,1.763170057516958e-07
17031220602,2204.0,501.0,0.00011759696680926988,2.94449399605332e-05
17031220701,22.0,0.0,1.173835421871115e-06,0.0
17031220702,70.0,2.0,3.7349308877717295e-06,1.1754467050113054e-07
17031220901,2.0,0.0,1.0671231107919227e-07,0.0
17031220902,3.0,0.0,1.600684666187884e-07,0.0
17031221000,40.0,2.0,2.1342462215838455e-06,1.1754467050113054e-07
17031221100,1001.0,102.0,5.3409511695135736e-05,5.994778195557658e-06
17031221200,706.0,23.0,3.766944581095487e-05,1.3517637107630013e-06
17031221300,3736.0,1772.0,0.00019933859709593118,0.00010414457806400167
17031221400,2159.0,764.0,0.00011519593980998806,4.4902064131431866e-05
17031221500,1645.0,361.0,8.777087586263564e-05,2.1216813025454064e-05
17031221600,3545.0,236.0,0.0001891475713878683,1.3870271119133404e-05
